therapy,timepoint,response,CD8_stage,n_patients,mean_ZFP36,sd_ZFP36,mean_ZFP36L1,sd_ZFP36L1,mean_ZFP36L2,sd_ZFP36L2,mean_ZC3H12A,sd_ZC3H12A,mean_RC3H1,sd_RC3H1,mean_RC3H2,sd_RC3H2,mean_PCBP1,sd_PCBP1,mean_ELAVL1,sd_ELAVL1,mean_HNRNPLL,sd_HNRNPLL,mean_TIA1,sd_TIA1
anti-PD1,Post,Non-responder,T-CM,10,2.0857728362083434,0.33384469782274084,1.8946650505065918,0.5151430038367616,1.671716320514679,0.6530982175961041,0.5652403473854065,0.766010739255275,1.5142312407493592,0.6017625022574873,0.5862400256097317,0.9435062912715282,1.3771372795104981,0.8130845903864613,0.4276515543460846,0.6227553486149615,0.8448025941848755,0.7503109625828454,0.9768047392368316,0.84484927778782
anti-PD1,Post,Non-responder,T-EFF/CTL,15,1.734976633389791,0.7584786924136442,1.5415041287740072,0.7845633255896391,1.3210023840268452,0.5769328538300187,0.5068775271375974,0.6793773919250273,1.057451883951823,0.5967707968633481,0.5301992774009705,0.5224143976470832,1.2337910453478496,0.6087519699283047,0.5161650141080221,0.6136467140835702,1.2345593134562174,0.5857447865923094,0.8756015539169312,0.5504347883313642
anti-PD1,Post,Non-responder,T-EM/TEMRA,11,2.050028920173645,0.36147445625883023,1.8830883232030002,0.46412861149660756,1.1612794182517312,0.6417891685150555,0.8728733360767365,0.7271840446641189,1.1871412613175132,0.45622643803317026,0.5259848088026047,0.6202318075704313,1.2254332249814814,0.5253776728323839,0.12352642687884244,0.2603038061826694,1.329461233182387,0.643163185239884,0.9998448084701191,0.8618904340542003
anti-PD1,Post,Non-responder,T-RM,16,2.161356784403324,0.19789093173355987,1.7873193435370922,0.45142078114827777,1.3600826282054186,0.5958672043476783,0.6557555012404919,0.3723893913736855,1.1651496328413486,0.4385625838736898,0.606341808103025,0.1813610766217881,1.3688691705465317,0.3145636939733176,0.28801582229789346,0.26982414994758885,1.2860717810690403,0.25917146252410783,0.8324746284633875,0.5798254486344688
anti-PD1,Post,Non-responder,TRM-CD69only,16,2.221207670867443,0.2088884988964605,1.9255645871162415,0.28823261672134415,1.6291009783744812,0.3894562127182604,0.8300633477047086,0.5249823075145487,0.852896049618721,0.4214211548946921,0.32797246146947145,0.2653987475647667,1.1380687486380339,0.5932032932750242,0.14798901043832302,0.143008459141686,0.8943716809153557,0.4688861521008077,0.44265379942953587,0.3921002220596015
anti-PD1,Post,Responder,Non-CD8,5,1.971301007270813,0.24228546392036648,1.5768428325653077,0.21948290581913618,1.6499884605407715,0.36959364955673646,0.6041341066360474,0.25575460214309137,0.8821991324424744,0.17531157210625073,0.3257653772830963,0.11254639719362679,0.9442234039306641,0.23722431637758415,0.2098651945590973,0.12161725720497256,0.7222801089286804,0.36765858585988354,0.5017488718032836,0.06446467041590163
anti-PD1,Post,Responder,Other_CD8,5,2.059482479095459,0.21332375091041897,1.6772616386413575,0.39672389858228124,1.8152488946914673,0.4041047710929017,0.6257988691329956,0.5261584519758222,1.084044587612152,0.25540808610960325,0.3864824026823044,0.1962555104702106,1.034781002998352,0.35940436290227257,0.15456925630569457,0.24107136209473493,0.966902208328247,0.367464087628887,0.5619141042232514,0.4557110727759782
anti-PD1,Post,Responder,Stem-like,1,2.214846134185791,,2.4078454971313477,,2.186051368713379,,0.0,,0.0,,1.2864739894866943,,0.0,,1.291983723640442,,0.0,,0.0,
anti-PD1,Post,Responder,T-CM,1,1.9795868396759033,,2.1415767669677734,,1.744961142539978,,1.976471185684204,,0.9450476765632629,,1.8548407554626465,,2.009620189666748,,1.71799898147583,,2.094330310821533,,0.8300655484199524,
anti-PD1,Post,Responder,T-EFF/CTL,5,2.022773861885071,0.5494792375665658,2.016589069366455,0.5531406590935407,1.671625590324402,0.4625447894188643,0.38545905351638793,0.6525482790325298,1.175936770439148,0.7757624762767611,0.44864690899848936,0.4823308770105367,1.0753161311149597,0.7614965493846518,0.5026020407676697,0.5418677555612234,0.5228299140930176,0.718874312775786,0.47136197090148924,0.437644667659141
